x,y,v_ref,acc
1.43699999991804,-52.9809999996796,20,0
1.46399999991991,-53.9799999995157,20,0
1.49099999992177,-54.9799999995157,20,0
1.51799999992363,-55.9799999995157,20,0
1.54499999992549,-56.9790000002831,20,0
1.57199999992736,-57.9790000002831,20,0
1.59899999992922,-58.9780000001192,20,0
1.62599999993108,-59.9780000001192,20,0
1.65299999993294,-60.9780000001192,20,0
1.67999999993481,-61.9769999999553,20,0
1.70799999998417,-62.9769999999553,20,0
1.73499999998603,-63.9769999999553,20,0
1.76199999998789,-64.9759999997914,20,0
1.78899999998976,-65.9759999997914,20,0
1.81599999999162,-66.9749999996275,20,0
1.84299999999348,-67.9749999996275,20,0
1.86999999999534,-68.9749999996275,20,0
1.89699999999721,-69.9739999994636,20,0
1.92399999999907,-70.9739999994636,20,0
1.95199999993201,-71.9739999994636,20,0
1.97899999993388,-72.973000000231,20,0
2.00599999993574,-73.973000000231,20,0
2.0329999999376,-74.973000000231,20,0
2.05999999993946,-75.9720000000671,20,0
2.08699999994133,-76.9720000000671,20,0
2.11399999994319,-77.9709999999031,20,0
2.14099999994505,-78.9709999999031,20,0
2.16799999994691,-79.9709999999031,20,0
2.19599999999627,-80.9699999997392,20,0
2.22299999999814,-81.9699999997392,20,0
2.25,-82.9699999997392,20,0
2.27700000000186,-83.9689999995753,20,0
2.30400000000373,-84.9689999995753,20,0
2.33100000000559,-85.9679999994114,20,0
2.35800000000745,-86.9679999994114,20,0
2.38500000000931,-87.9679999994114,20,0
2.41200000001118,-88.9670000001788,20,0
2.43900000001304,-89.9670000001788,20,0
2.46699999994598,-90.9670000001788,20,0
2.49399999994785,-91.9660000000149,20,0
2.52099999994971,-92.9660000000149,20,0
2.54799999995157,-93.9660000000149,20,0
2.57499999995343,-94.964999999851,20,0
2.6019999999553,-95.964999999851,20,0
2.62899999995716,-96.9639999996871,20,0
2.65599999995902,-97.9639999996871,20,0
2.68299999996088,-98.9639999996871,20,0
2.71100000001024,-99.9629999995232,20,0
2.73800000001211,-100.962999999523,20,0
2.76500000001397,-101.962999999523,20,0
2.79200000001583,-102.962000000291,20,0
2.8190000000177,-103.962000000291,20,0
2.84600000001956,-104.962000000291,20,0
2.87300000002142,-105.961000000127,20,0
2.90000000002328,-106.961000000127,20,0
2.92700000002515,-107.959999999963,20,0
2.95499999995809,-108.959999999963,20,0
2.98199999995995,-109.959999999963,20,0
3.00899999996182,-110.958999999799,20,0
3.08399999991525,-111.953999999911,20,0
3.25799999991432,-112.939000000246,20,0
3.4419999999227,-113.922000000253,20,0
3.63299999991432,-114.902999999933,20,0
3.83699999994133,-115.882000000216,20,0
4.04599999997299,-116.859999999404,20,0
4.27000000001863,-117.834999999963,20,0
4.49699999997392,-118.808999999426,20,0
4.73899999994319,-119.779000000097,20,0
4.98699999996461,-120.747999999672,20,0
5.24499999999534,-121.713999999687,20,0
5.51299999991898,-122.677000000142,20,0
5.78799999994226,-123.638000000268,20,0
6.07600000000093,-124.595999999903,20,0
6.36800000001676,-125.553000000305,20,0
6.67499999993015,-126.503999999724,20,0
6.98599999991711,-127.455000000075,20,0
7.30999999993946,-128.400999999605,20,0
7.64099999994505,-129.343999999575,20,0
7.98199999995995,-130.283999999985,20,0
8.33100000000559,-131.220999999903,20,0
8.68900000001304,-132.155000000261,20,0
9.05799999996088,-133.084999999963,20,0
9.43099999998231,-134.012000000104,20,0
9.8190000000177,-134.933999999426,20,0
10.2110000000102,-135.854000000283,20,0
10.6159999999218,-136.768000000156,20,0
11.0270000000019,-137.679999999702,20,0
11.4469999999274,-138.587000000291,20,0
11.8769999999786,-139.490000000224,20,0
12.3129999999655,-140.389999999665,20,0
12.7609999999404,-141.283999999985,20,0
13.2129999999888,-142.175999999978,20,0
13.6790000000037,-143.060999999754,20,0
14.1489999999758,-143.944000000134,20,0
14.6309999999357,-144.820000000298,20,0
15.1189999999478,-145.69299999997,20,0
15.6159999999218,-146.55999999959,20,0
16.1219999999739,-147.422999999486,20,0
16.6350000000093,-148.281999999657,20,0
17.1579999999376,-149.133999999613,20,0
17.6849999999395,-149.983000000007,20,0
18.2260000000242,-150.824000000022,20,0
18.7700000000186,-151.662999999709,20,0
19.3260000000009,-152.493999999948,20,0
19.887999999919,-153.321999999695,20,0
20.4579999999842,-154.143000000156,20,0
21.0359999999637,-154.958999999799,20,0
21.6209999999264,-155.770999999717,20,0
22.2160000000149,-156.574000000022,20,0
22.814000000013,-157.375,20,0
23.4259999999776,-158.166999999434,20,0
24.0399999999208,-158.956000000238,20,0
24.6659999999683,-159.735999999568,20,0
25.295999999973,-160.512000000104,20,0
25.935999999987,-161.280999999493,20,0
