x_m, y_m, vx_mps, ax_mps2
-41.134965855046,-39.3998241899531,20,0
-41.811538871028,-40.136199740227,20,0
-42.488111885963,-40.87257530028,20,0
-43.164684902061,-41.608950850088,20,0
-43.835303739062,-42.350703469943,20,0
-44.499129815027,-43.098590450361,20,0
-45.162955892039,-43.8464774303141,20,0
-45.826781968004,-44.5943644200451,20,0
-46.490608045016,-45.3422513999971,20,0
-47.154434122028,-46.0901383901941,20,0
-47.818260197993,-46.838025370147,20,0
-48.482086275005,-47.585912350099,20,0
-49.134257456986,-48.343966650311,20,0
-49.785140766995,-49.1031444403341,20,0
-50.436024078051,-49.862322230357,20,0
-51.086907388991,-50.6215000203811,20,0
-51.737790699,-51.380677809938,20,0
-52.388674010057,-52.1398555999621,20,0
-53.039557320997,-52.899033380206,20,0
-53.686055151047,-53.66190621024,20,0
-54.323803685954,-54.4321508500721,20,0
-54.961552222026,-55.20239549037,20,0
-55.599300757981,-55.972640130203,20,0
-56.237049294053,-56.7428847700351,20,0
-56.874797828961,-57.513129410334,20,0
-57.512546365032,-58.283374050166,20,0
-58.150294900988,-59.053618689999,20,0
-58.777821148047,-59.8321802699941,20,0
-59.402246774989,-60.61326454021,20,0
-60.026672400999,-61.394348809961,20,0
-60.651098028058,-62.175433080177,20,0
-61.275523654068,-62.9565173499281,20,0
-61.89994928101,-63.737601620145,20,0
-62.524374908069,-64.518685890361,20,0
-63.146090199006,-65.301899000071,20,0
-63.757008712971,-66.09359248029,20,0
-64.367927226005,-66.885285960044,20,0
-64.97884573997,-67.6769794500431,20,0
-65.589764253003,-68.468672930263,20,0
-66.200682766968,-69.260366410017,20,0
-66.811601280002,-70.052059890236,20,0
-67.422519793966,-70.8437533699901,20,0
-68.024759880034,-71.6420255303381,20,0
-68.621991059975,-72.444094680249,20,0
-69.219222242012,-73.246163820382,20,0
-69.816453423001,-74.048232970293,20,0
-70.413684603991,-74.850302120205,20,0
-71.01091578498,-75.652371260337,20,0
-71.608146965969,-76.4544404102491,20,0
-72.204443239956,-77.257193299941,20,0
-72.787810907,-78.0694015002811,20,0
-73.371178574045,-78.8816097099331,20,0
-73.954546240042,-79.6938179102721,20,0
-74.53791390697,-80.506026110146,20,0
-75.121281574014,-81.318234320264,20,0
-75.704649241059,-82.130442520138,20,0
-76.288016907055,-82.942650720011,20,0
-76.864355194964,-83.759816820267,20,0
-77.433687255019,-84.581924480386,20,0
-78.003019316005,-85.404032140039,20,0
-78.57235137606,-86.2261398001571,20,0
-79.141683437046,-87.048247460276,20,0
-79.711015496985,-87.870355119928,20,0
-80.280347557971,-88.692462780047,20,0
-80.849679618026,-89.514570440165,20,0
-81.405742528964,-90.345699740108,20,0
-81.960871031973,-91.177464330103,20,0
-82.515999534982,-92.0092289303431,20,0
-83.071128037059,-92.840993530117,20,0
-83.626256540068,-93.672758130356,20,0
-84.18138504296,-94.504522720352,20,0
-84.736513545969,-95.336287320126,20,0
-85.286360600963,-96.171511620283,20,0
-85.827121785027,-97.012687790207,20,0
-86.367882968043,-97.853863960132,20,0
-86.90864415199,-98.695040120277,20,0
-87.449405335006,-99.536216290202,20,0
