X,Y,vel,acc
-83.511034527095,-184.781861119904,20,0
-83.758305384079,-185.842471800745,20,0
-84.0055763190612,-186.90308247041,20,0
-84.2528473290149,-187.963693120517,20,0
-84.4975522150053,-189.025281909853,20,0
-84.7310789680341,-190.091131370515,20,0
-84.9646057940554,-191.156980830245,20,0
-85.1981326940004,-192.222830280662,20,0
-85.4316596660065,-193.288679710589,20,0
-85.665186712984,-194.354529140517,20,0
-85.8987138320226,-195.4203785602,20,0
-86.1322410270805,-196.486227960326,20,0
-86.365768294083,-197.552077350207,20,0
-86.5992956340779,-198.617926740088,20,0
-86.8328230490442,-199.683776110411,20,0
-87.0663505380508,-200.749625470489,20,0
-87.2998780990019,-201.815474820323,20,0
-87.533405735041,-202.881324159913,20,0
-87.7669334420934,-203.947173490189,20,0
-88.0004612260964,-205.013022810221,20,0
-88.2339890809963,-206.078872120008,20,0
-88.4675170120318,-207.144721410237,20,0
-88.7010450150119,-208.210570700467,20,0
-88.9262023840565,-209.279421340674,20,0
-89.1459229760803,-210.350221380591,20,0
-89.365643637022,-211.421021420509,20,0
-89.5853643700248,-212.491821450181,20,0
-89.8050851720618,-213.562621460296,20,0
-90.0248060440645,-214.633421470411,20,0
-90.2445269880118,-215.704221460037,20,0
-90.4642480009934,-216.775021450594,20,0
-90.6839690849884,-217.845821420662,20,0
-90.9036902390653,-218.91662139073,20,0
-91.1234114640392,-219.987421350554,20,0
-91.3431327580474,-221.058221289888,20,0
-91.5628541240003,-222.129021230154,20,0
-91.7825755589874,-223.199821160175,20,0
-92.0022970660357,-224.270621070638,20,0
-92.2220186410705,-225.34142098017,20,0
-92.4417402870022,-226.412220880389,20,0
-92.661462004995,-227.483020760119,20,0
-92.8808263930259,-228.553940780461,20,0
-93.0866812790046,-229.629402030259,20,0
-93.2925362320384,-230.704863280058,20,0
-93.4983912520111,-231.780324510299,20,0
-93.7042463390389,-232.855785740539,20,0
-93.9101014930056,-233.931246950291,20,0
-94.1159567140276,-235.006708160043,20,0
-94.321812003036,-236.082169360481,20,0
-94.527667358052,-237.157630550675,20,0
-94.7335227800068,-238.233091730624,20,0
-94.9393782700645,-239.308552900329,20,0
-95.1452338260133,-240.384014060721,20,0
-95.3510894490173,-241.459475220181,20,0
-95.5569451390766,-242.534936360084,20,0
-95.7628008960746,-243.610397499986,20,0
-95.9686567210592,-244.685858620331,20,0
-96.1745126120513,-245.761319740675,20,0
-96.3803685699822,-246.836780849844,20,0
-96.5862245950848,-247.912241950631,20,0
-96.7858808530727,-248.989649350755,20,0
-96.9778143740259,-250.069481160492,20,0
-97.1697479560971,-251.149312959984,20,0
-97.3616816030117,-252.229144760408,20,0
-97.553615312092,-253.308976550587,20,0
-97.7455490850844,-254.388808320276,20,0
-97.9374829219887,-255.468640089966,20,0
-98.1294168219902,-256.548471860588,20,0
-98.3213507870678,-257.62830361072,20,0
-98.5132848140784,-258.708135359921,20,0
-98.7052189060487,-259.787967090495,20,0
-98.8971530600684,-260.867798820138,20,0
-99.0890872790478,-261.947630540468,20,0
-99.281021561008,-263.027462259866,20,0
-99.4729559060652,-264.107293960638,20,0
-99.6648903150344,-265.187125660479,20,0
-99.8568247890798,-266.266957350075,20,0
-100.048759325058,-267.346789030358,20,0
-100.240693925065,-268.426620700397,20,0
-100.420542867039,-269.509979950264,20,0
-100.598503046087,-270.593890500255,20,0
-100.77646328602,-271.677801040001,20,0
-100.954423587071,-272.761711570434,20,0
-101.132383947028,-273.845622099936,20,0
-101.310344366007,-274.929532620125,20,0
-101.488304847036,-276.013443130068,20,0
-101.666265388019,-277.097353630699,20,0
-101.844225988025,-278.181264130399,20,0
-102.022186649032,-279.265174619854,20,0
-102.200147371041,-280.349085099995,20,0
